status_id,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
1,529,512,262,432,92,3,1,1,0
2,150,0,0,150,0,0,0,0,0
3,227,236,57,204,21,1,1,0,0
4,111,0,0,111,0,0,0,0,0
5,213,0,0,204,9,0,0,0,0
6,217,6,0,211,5,1,0,0,0
7,503,614,72,418,70,10,2,0,3
8,295,453,53,260,32,1,1,0,1
9,203,1,0,198,5,0,0,0,0
10,170,9,1,167,3,0,0,0,0
11,210,2,3,202,7,1,0,0,0
12,222,4,0,213,5,4,0,0,0
13,313,4,2,305,6,2,0,0,0
14,209,4,0,200,8,1,0,0,0
15,346,11,0,335,10,1,0,0,0
16,332,100,30,303,23,1,5,0,0
17,135,256,79,117,18,0,0,0,0
18,150,173,47,132,16,1,0,1,0
19,221,166,36,192,28,0,1,0,0
20,152,2,0,149,3,0,0,0,0
21,234,15,1,221,12,1,0,0,0
22,227,7,1,217,7,2,1,0,0
23,98,0,0,96,0,2,0,0,0
24,18,0,0,18,0,0,0,0,0
25,102,0,0,100,0,2,0,0,0
26,37,0,1,37,0,0,0,0,0
27,75,36,14,70,5,0,0,0,0
28,90,78,9,85,5,0,0,0,0
29,145,9,0,138,7,0,0,0,0
30,253,300,31,229,22,1,1,0,0
31,85,0,0,81,2,2,0,0,0
32,45,14,0,40,5,0,0,0,0
33,92,0,0,85,4,2,1,0,0
34,125,1,0,116,8,1,0,0,0
35,119,4,0,116,3,0,0,0,0
36,293,8,0,281,11,1,0,0,0
37,128,137,26,110,16,2,0,0,0
38,84,15,13,78,5,1,0,0,0
39,66,11,6,61,4,1,0,0,0
40,171,292,28,150,19,1,1,0,0
41,90,72,23,79,10,1,0,0,0
42,139,39,9,121,16,1,1,0,0
43,236,181,21,201,33,0,1,0,1
44,225,210,34,193,30,0,2,0,0
45,275,12,0,260,11,4,0,0,0
46,372,456,37,334,31,1,1,1,4
47,445,9,0,419,23,3,0,0,0
48,128,60,11,114,13,0,0,0,1
49,186,235,46,163,19,0,3,0,1
50,309,444,36,254,42,2,8,3,0
51,77,11,3,75,2,0,0,0,0
52,119,72,28,103,16,0,0,0,0
53,100,21,13,95,5,0,0,0,0
54,240,255,111,193,44,1,1,0,1
55,164,136,48,146,15,2,0,1,0
56,202,327,42,171,30,1,0,0,0
57,211,284,46,186,25,0,0,0,0
58,148,114,16,136,10,0,2,0,0
59,97,81,16,84,13,0,0,0,0
60,279,292,34,254,20,3,1,1,0
61,263,8,0,245,14,4,0,0,0
62,177,193,34,151,25,1,0,0,0
63,517,32,1,484,26,7,0,0,0
64,289,258,33,256,33,0,0,0,0
65,66,13,0,65,1,0,0,0,0
66,112,6,0,104,8,0,0,0,0
67,206,259,48,181,22,1,2,0,0
68,362,468,86,305,56,0,0,1,0
69,184,130,51,161,23,0,0,0,0
70,216,251,34,199,16,0,0,0,1
71,57,0,0,56,1,0,0,0,0
72,272,258,43,226,44,1,1,0,0
73,248,247,34,208,33,3,2,0,2
74,132,89,40,110,20,1,0,0,1
75,226,341,41,196,30,0,0,0,0
76,35,1,0,35,0,0,0,0,0
77,219,316,36,170,46,3,0,0,0
78,94,1,1,94,0,0,0,0,0
79,259,368,50,234,25,0,0,0,0
80,62,1,0,62,0,0,0,0,0
81,127,76,21,114,13,0,0,0,0
82,149,63,15,134,15,0,0,0,0
83,134,171,41,116,18,0,0,0,0
84,392,461,47,360,32,0,0,0,0
85,310,540,41,284,26,0,0,0,0
86,14,3,0,12,2,0,0,0,0
87,293,6,1,275,15,3,0,0,0
88,236,12,0,226,8,1,1,0,0
89,312,10,0,291,18,3,0,0,0
90,24,12,0,24,0,0,0,0,0
91,16,9,0,15,1,0,0,0,0
92,33,12,0,32,1,0,0,0,0
93,675,10,0,645,29,1,0,0,0
94,737,18,0,697,31,9,0,0,0
95,572,16,0,554,16,2,0,0,0
96,23,7,0,20,3,0,0,0,0
97,266,25,0,250,11,5,0,0,0
98,378,512,30,348,27,2,0,0,1
99,421,709,30,373,45,2,0,1,0
100,1493,1979,753,1333,139,9,3,8,1
101,76,17,0,76,0,0,0,0,0
102,36,11,0,34,2,0,0,0,0
103,19,8,0,18,0,0,1,0,0
104,27,10,0,27,0,0,0,0,0
105,117,2,53,108,9,0,0,0,0
106,146,1,0,145,1,0,0,0,0
107,166,0,13,151,7,0,0,8,0
108,190,0,31,171,0,0,0,19,0
109,217,16,0,213,4,0,0,0,0
110,458,14,0,451,3,4,0,0,0
111,553,15,0,538,12,3,0,0,0
112,203,18,11,190,7,6,0,0,0
113,1005,25,1,979,16,9,1,0,0
114,202,145,23,182,19,0,0,0,1
